"Argo User's manual reference table 3 : list of physical parameters, last update : 02/02/2016"									
Order	parameter name	Parameter name short version Backup	long_name	cf_standard_name	cf_standard_name_uri	unit	valid_min	valid_max	core/bio/intermediate
56	PH_IN_SITU_TOTAL	PH_TOTAL	pH	sea_water_ph_reported_on_total_scale		dimensionless	-	-	b
57	PH_IN_SITU_FREE	PH_FREE	pH	-		dimensionless	-	-	i
58	PH_IN_SITU_SEAWATER	PH_SEAWATER	pH	-		dimensionless	-	-	i
59	RAW_DOWNWELLING_IRRADIANCE	RAW_DOWN_IRR	Raw downwelling irradiance at x nanometers	-		count	-	-	i
60	RAW_DOWNWELLING_IRRADIANCE380		Raw downwelling irradiance at 380 nanometers	-		count	-	-	i
61	RAW_DOWNWELLING_IRRADIANCE412		Raw downwelling irradiance at 412 nanometers	-		count	-	-	i
62	RAW_DOWNWELLING_IRRADIANCE443	Raw downwelling irradiance at 490 nanometers	Raw downwelling irradiance at 443 nanometers	-		count	-	-	i
63	RAW_DOWNWELLING_IRRADIANCE490		Raw downwelling irradiance at 490 nanometers	-		count	-	-	i
64	RAW_DOWNWELLING_IRRADIANCE555		Raw downwelling irradiance at 555 nanometers	-		count	-	-	i
65	DOWN_IRRADIANCE	DOWN_IRR	Downwelling irradiance at x nanometers	-		W/m^2/nm	-	-	b
66	DOWN_IRRADIANCE380		Downwelling irradiance at 380 nanometers	-		W/m^2/nm	-	-	b
67	DOWN_IRRADIANCE412		Downwelling irradiance at 412 nanometers	-		W/m^2/nm	-	-	b
68	DOWN_IRRADIANCE443		Downwelling irradiance at 443 nanometers	-		W/m^2/nm	-	-	b
69	DOWN_IRRADIANCE490		Downwelling irradiance at 490 nanometers	-		W/m^2/nm	-	-	b
70	DOWN_IRRADIANCE555		Downwelling irradiance at 555 nanometers	-		W/m^2/nm	-	-	b
71	RAW_UPWELLING_RADIANCE	RAW_UP_RAD	Raw upwelling radiance at x nanometers	-		count	-	-	i
72	RAW_UPWELLING_RADIANCE412		Raw upwelling radiance at 412 nanometers	-		count	-	-	i
73	RAW_UPWELLING_RADIANCE443		Raw upwelling radiance at 443 nanometers	-		count	-	-	i
74	RAW_UPWELLING_RADIANCE490		Raw upwelling radiance at 490 nanometers	-		count	-	-	i
75	RAW_UPWELLING_RADIANCE555		Raw upwelling radiance at 555 nanometers	-		count	-	-	i
76	UP_RADIANCE	UP_RAD	Upwelling radiance at x nanometers	upwelling_radiance_in_sea_water		W/m^2/nm/sr	-	-	b
77	UP_RADIANCE412		Upwelling radiance at 412 nanometers	upwelling_radiance_in_sea_water		W/m^2/nm/sr	-	-	b
78	UP_RADIANCE443	Upwelling radiance at x nanometers	Upwelling radiance at 443 nanometers	upwelling_radiance_in_sea_water		W/m^2/nm/sr	-	-	b
79	UP_RADIANCE490		Upwelling radiance at 490 nanometers	upwelling_radiance_in_sea_water		W/m^2/nm/sr	-	-	b
80	UP_RADIANCE555		Upwelling radiance at 555 nanometers	upwelling_radiance_in_sea_water		W/m^2/nm/sr	-	-	b
81	RAW_DOWNWELLING_PAR	RAW_DOWN_PAR	Raw downwelling photosynthetic available radiation	-		count	-	-	i
82	DOWNWELLING_PAR	DOWN_PAR	Downwelling photosynthetic available radiation	downwelling_photosynthetic_photon_flux_in_sea_water		microMoleQuanta/m^2/sec	-	-	b
83	TILT	Raw downwelling photosynthetic available radiation	Inclination of the float axis in respect to the local vertical	-		degree	-	-	i
