EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,SF6,SF6_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_TOT,PH_TOT_FLAG_W,PH_TMP,POC,POC_FLAG_W,PON,PON_FLAG_W,CHLORA,CHLORA_FLAG_W,PPHYTN,PPHYTN_FLAG_W,THETA
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,FMOL/KG,,UMOL/KG,,UMOL/KG,,,,DEG C,UG/KG,,UG/KG,,UG/KG,,UG/KG,,DEG C
  096U20160426,  P15S,     1,  1,      6,   2006,2,20160427,0659,-45.5031, 149.3977, 4304,   3024.6,   1.7960,  34.7330,2,  34.7323,2,    192.5,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    0.036,2,    0.021,2,        0,2,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,   1.5700
  096U20160426,  P15S,     1,  1,      9,   2009,2,20160427,0659,-45.5031, 149.3977, 4304,   3024.6,   1.7950,  34.7330,2,  34.7325,2,    192.3,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    0.043,2,    0.020,2,        0,2,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,   1.5690
  096U20160426,  P15S,     1,  1,     23,   2023,2,20160427,0659,-45.5031, 149.3977, 4304,   3024.6,   1.7930,  34.7330,2,  34.7328,2,    192.5,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9,     -999,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,   1.5670
  096U20160426,  P15S,     1,  1,     15,   2015,2,20160427,0659,-45.5031, 149.3977, 4304,   3024.7,   1.7950,  34.7330,2,  34.7322,2,    192.5,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    0.036,2,    0.017,2,    0.052,2,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,   1.5690
  096U20160426,  P15S,     1,  1,      5,   2005,2,20160427,0659,-45.5031, 149.3977, 4304,   3024.8,   1.7960,  34.7330,2,-999.0000,9,    192.5,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9,     -999,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,   1.5700
  096U20160426,  P15S,     1,  1,     14,   2014,2,20160427,0659,-45.5031, 149.3977, 4304,   3024.8,   1.7950,  34.7330,2,  34.7324,2,    192.4,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    0.039,2,    0.018,2,        0,2,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,   1.5690
  096U20160426,  P15S,     1,  1,     16,   2016,2,20160427,0659,-45.5031, 149.3977, 4304,   3024.8,   1.7940,  34.7330,2,  34.7341,2,    192.5,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    0.037,2,    0.017,2,        0,2,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,   1.5680
  096U20160426,  P15S,     1,  1,     20,   2020,2,20160427,0659,-45.5031, 149.3977, 4304,   3025.0,   1.7930,  34.7330,2,  34.7329,2,    192.4,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9,     -999,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,   1.5670
  096U20160426,  P15S,     1,  1,     25,   2025,2,20160427,0659,-45.5031, 149.3977, 4304,   3025.0,   1.7940,  34.7330,2,  34.7333,2,    192.5,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9,     -999,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,   1.5680
  096U20160426,  P15S,     1,  1,     11,   2011,2,20160427,0659,-45.5031, 149.3977, 4304,   3025.2,   1.7940,  34.7330,2,  34.7323,2,    192.4,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    0.034,2,    0.018,2,        0,2,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,   1.5680
