WMO_,MBARIIDSTR,SENSOR,CYCLES,FLAG
5905639,ua12787,PH,"1-",3
5905639,ua12787,PH,"21-",4
5905969,ua12792,PH,"152-",4
5905970,ua12783,PH,"70-",4
5905971,ua12780,PH,"1-",4
5905972,ua8474,PH,"13-28",3
5905972,ua8474,PH,"29-",4
5905973,ua12788,PH,"5-",4
5905980,ua12696,PH,"11-30",3
5905980,ua12696,PH,"31-",4
5905982,ua12881,PH,"1,",3
5905982,ua12881,PH,"71,",4
5905982,ua12881,PH,"137-",4
5905983,ua12700,PH,"68-",4
5905984,ua12747,PH,"2-",3
5905984,ua12747,PH,"1,17,21,27,139-",4
5905985,ua12778,PH,"3,",3
5905985,ua12778,PH,"36-",4
5905988,un0949,PH,"114,",4
5905991,ua12688,PH,"112,132",4
5905991,ua12688,PH,"157-",4
5905992,ua12749,PH,"16-",4
5905993,ua12886,PH,"40-",4
5905994,ua12739,PH,"9-",4
5905995,ua11090,PH,"47,",4
5905995,ua11090,PH,"1-",3
5905996,un0886,PH,"54,62,",4
5905997,ua12714,PH,"13-16",3
5905998,ua12727,PH,"3-8,11-13",3
5905998,ua12727,PH,"48,",4
5906001,ua12708,PH,"12-16",3
5906001,ua12708,PH,"17-24",4
5906002,ua12889,PH,"1-",3
5906002,ua12889,PH,"129-130",4
5906004,ua12752,PH,"1,",4
5906005,ua12786,PH,"1-35",3
5906005,ua12786,PH,"36-",4
5906006,ua12884,PH,"1-",3
5906007,ua12880,PH,"1-23,36,",3
5906026,un1248,PH,"30-",4
5906030,ua12888,PH,"1-",3
5906030,ua12888,PH,"162-",4
5906031,ua12885,PH,"93,",4
5906031,ua12885,PH,"135,",4
5906034,ua12892,PH,"1-10,",3
5906034,ua12892,PH,"11-",4
5906035,un0888,PH,"125,",4
5906036,un0889,PH,"14-",4
5906036,un0889,PH,"7-13",3
5906039,ua17267,PH,"163-",4
5906043,ua17534,PH,"34-",4
5906044,ua17350,PH,"1-",3
5906044,ua17350,PH,"75-102,132-133,154-",4
5906045,ua17862,PH,"22,63-64,161,",4
5906046,ua18608,PH,"14,60,66,137,",4
5906205,ua18082,PH,"1-",3
5906206,ua18821,PH,"1-4,17-22",3
5906208,ua17898,PH,"1,",4
5906209,ua18739,PH,"35,",4
5906210,ua18994,PH,"1-12",3
5906211,ua18864,PH,"1-21,43,",3
5906212,ua18721,PH,"1-",4
5906213,ua18320,PH,"82,",4
5906217,ua18771,PH,"38,",4
5906218,ua18081,PH,"14,",3
5906219,ua18110,PH,"1,",4
5906220,ua18417,PH,"1-",4
5906221,ua18796,PH,"1-",3
5906221,ua18796,PH,"30-",4
5906222,ua18852,PH,"8,",4
5906223,ua18862,PH,"1-",4
5906224,ua18643,PH,"15,30-",4
5906225,ua18861,PH,"80-",4
5906226,ua18829,PH,"1-21",3
5906227,ua18169,PH,"1,12-27",3
5906228,ua18097,PH,"1-",3
5906236,ua18709,PH,"17-",4
5906237,ua18114,PH,"25-",4
5906238,ua18601,PH,"17,19,22,33-",4
5906238,ua18601,PH,"18,20,21,23-",3
5906243,ua18340,PH,"1-",4
5906246,ua18431,PH,"114-",4
5906247,ua18161,PH,"37-",4
5906247,ua18161,PH,"10-36",3
5906248,ua18450,PH,"1,",3
5906248,ua18450,PH,"1-",3
5906249,ua18321,PH,"1-",4
5906250,ua18069,PH,"105",4
5906294,ua19875,PH,"106,",4
5906295,ua19063,PH,"3,",4
5906296,ua19050,PH,"10,",4
5906297,ua19211,PH,"58-",4
5906300,ua19412,PH,"1-",3
5906300,ua19412,PH,"2,110-",4
5906302,ua19644,PH,"27,33,45,74,",4
5906303,ua19017,PH,"13-",4
5906305,un1113,PH,"1-",4
5906306,un1114,PH,"8-",4
5906307,un1115,PH,"35-50",4
5906308,un1116,PH,"2,",3
5906308,un1116,PH,"13-",4
5906313,ua19327,PH,"9-",4
5906315,ua17328,PH,"1-",3
5906318,ua19018,PH,"1,",4
5906319,ua19072,PH,"1-",4
5906339,ua19588,PH,"1-",4
5906339,ua19588,PH,"2-7,10,14,",4
5906342,ua19142,PH,"90-",4
5906343,ua19881,PH,"1-",4
5906436,ua19605,PH,"24-",4
5906437,ua19443,PH,"1,",3
5906438,ua19129,PH,"24-",4
5906441,ua19719,PH,"1-",3
5906441,ua19719,PH,"52,53,60,129,161",4
5906443,un1121,PH,"1,",3
5906444,un1122,PH,"1-14",3
5906444,un1122,PH,"15-",4
5906448,ua19751,PH,"19-",4
5906449,ua20043,PH,"17-",4
5906471,ua20532,PH,"1,",3
5906471,ua20532,PH,"54-",4
5906472,ua20060,PH,"1-",4
5906473,ua20912,PH,"1,",4
5906473,ua20912,PH,"60-",3
5906474,ua20084,PH,"29-",4
5906475,ua20592,PH,"1-",4
5906476,ua20135,PH,"13-",4
5906483,ua20520,PH,"11-",4
5906484,ua20175,PH,"57,",4
5906487,ua19806,PH,"1,",3
5906488,ua19389,PH,"63-64",4
5906489,ua19976,PH,"1-",3
5906491,ua20220,PH,"1-",4
5906492,ua20627,PH,"1-",4
5906499,ua19441,PH,"49",4
5906500,ua19302,PH,"1-",4
5906501,ua19014,PH,"1-",4
5906503,ua20144,PH,"1-",4
